Price,Car Name,Region,Condition,Mileage
"₦ 13,000,000",Toyota Highlander 2009 Red,"Enugu State, Enugu",Local Used,130302 km
"₦ 4,630,500",Toyota Sienna 2007 Blue,"Ogun State, Abeokuta North",Local Used,228951 km
"₦ 11,440,000",Kia Optima 2014 Black,"Abuja (FCT), Garki 2",Local Used,142163 km
"₦ 5,775,000",Toyota Avensis 2010 Black,"Rivers State, Port-Harcourt",Local Used,217520 km
"₦ 7,488,000",Lexus GS 2006 Silver,"Lagos State, Alimosho",Local Used,145051 km
"₦ 8,320,000",Toyota Camry 2010 Red,"Lagos State, Ikotun/Igando",Local Used,99234 km
"₦ 31,500,000",Toyota Tacoma 2017 Gray,"Lagos State, Ikorodu",Local Used,72015 km
"₦ 6,240,000",Toyota Highlander 2003 Blue,"Lagos State, Alimosho",Local Used,264556 km
"₦ 16,800,000",Lexus RX 350 2011 Black,"Akwa Ibom State, Uyo",Local Used,84289 km
"₦ 11,232,000",Lexus ES 2011 White,"Lagos State, Ikotun/Igando",Local Used,171299 km
"₦ 20,475,000",Mercedes-Benz GLA 250 2015 Silver,"Lagos State, Ajah",Foreign Used,129967 km
"₦ 9,048,000",Mercedes-Benz C350 2008 White,"Abuja (FCT), Gwarinpa",Local Used,93994 km
"₦ 33,547,500",Honda Accord Sport 2.0T 2020 Silver,"Lagos State, Ajah",Foreign Used,107244 km
"₦ 9,345,000",Hyundai Grandeur 2012 Black,"Abuja (FCT), Kubwa",Local Used,151041 km
"₦ 7,665,000",Toyota Corolla 2011 Black,"Lagos State, Surulere",Local Used,152539 km
"₦ 4,500,000",Toyota RAV4 2001 Black,"Lagos State, Lekki",Local Used,242527 km
"₦ 41,600,000",Lexus GX 2012 Black,"Abuja (FCT), Jabi",Local Used,121276 km
"₦ 12,480,000",Honda Accord 2013 Black,"Lagos State, Amuwo-Odofin",Local Used,185220 km
"₦ 5,250,000",Toyota Camry 2007 Black,"Lagos State, Ikotun/Igando",Local Used,291329 km
"₦ 10,657,500",Toyota Camry 2015 Black,"Lagos State, Lekki",Local Used,138276 km
"₦ 26,250,000",Lexus NX 2016 Red,"Abuja (FCT), Garki 2",Local Used,11682 km
"₦ 7,980,000",Lexus RX 350 2008 Gold,"Abia State, Aba North",Local Used,216218 km
"₦ 4,680,000",Lexus RX 300 2002 Black,"Rivers State, Port-Harcourt",Local Used,63667 km
"₦ 97,650,000",Changan CS95 2025 Black,"Abuja (FCT), Gwarinpa",Local Used,2440 km
"₦ 28,350,000",Toyota Sienna 2017 Gray,"Delta State, Oshimili South",Local Used,92501 km
"₦ 4,200,000",Toyota Corolla 2003 Black,"Lagos State, Abule Egba",Local Used,321753 km
"₦ 39,520,000",Mercedes-Benz GLC-Class 2016 Silver,"Abuja (FCT), Jabi",Foreign Used,139555 km
"₦ 11,960,000",Toyota Highlander 2009 Silver,"Oyo State, Ibadan",Local Used,197561 km
"₦ 10,500,000",Toyota Camry 2009 White,"Lagos State, Alimosho",Foreign Used,246089 km
"₦ 5,775,000",Mercedes-Benz E320 2008 Silver,"Lagos State, Lekki",Local Used,458879 km
"₦ 18,375,000",Honda Accord 2017 Gray,"Oyo State, Ibadan",Foreign Used,47406 km
"₦ 5,218,500",Toyota Camry 2009 Green,"Lagos State, Ikotun/Igando",Local Used,301558 km
"₦ 8,400,000",Dodge Caravan 2011 Green,"Lagos State, Isolo",Local Used,114926 km
"₦ 5,720,000",Lexus ES 2004 Gray,"Rivers State, Port-Harcourt",Local Used,526141 km
"₦ 45,517,500",Lexus RX 350 2017 Gray,"Lagos State, Amuwo-Odofin",Foreign Used,95076 km
"₦ 5,200,000",Toyota Camry 2002 Blue,"Lagos State, Isolo",Local Used,438470 km
"₦ 6,240,000",Honda Accord 2.4 i-VTEC Executive 2009 Blue,"Lagos State, Lekki",Local Used,133922 km
"₦ 8,820,000",Land Rover Range Rover 2008 Black,"Abuja (FCT), Karu",Local Used,190031 km
"₦ 3,675,000",Nissan Altima 2007 Blue,"Lagos State, Isolo",Local Used,116748 km
"₦ 60,900,000",BMW 7 Series 2016 White,"Abuja (FCT), Central Business District",Foreign Used,36961 km
"₦ 2,940,000",Hyundai Terracan 2.9 CRDi 2006 Silver,"Lagos State, Ikorodu",Local Used,258389 km
"₦ 4,200,000",Mercedes-Benz 230E 1984 Green,"Abuja (FCT), Asokoro",Local Used,148273 km
"₦ 10,185,000",Mercedes-Benz GLK-Class 2009 Red,"Abia State, Aba North",Local Used,110792 km
"₦ 9,975,000",Ford Focus 2014 Black,"Lagos State, Ikoyi",Foreign Used,11111 km
"₦ 8,320,000",Toyota Camry 2008 Red,"Lagos State, Yaba",Local Used,234062 km
"₦ 4,725,000",Toyota Corolla 2004 Silver,"Lagos State, Ikoyi",Local Used,268917 km
"₦ 7,612,500",Lexus RX 330 2005 Gray,"Lagos State, Amuwo-Odofin",Local Used,337192 km
"₦ 18,900,000",Mazda CX-9 2014 Red,"Lagos State, Isolo",Local Used,169868 km
"₦ 2,168,248",Honda Accord 2004 Blue,"Lagos State, Abule Egba",Local Used,133709 km
"₦ 10,290,000",Toyota Camry 2007 Silver,"Rivers State, Port-Harcourt",Foreign Used,152226 km
"₦ 5,460,000",Nissan Sentra 2014 Red,"Lagos State, Yaba",Local Used,157875 km
"₦ 11,130,000",Toyota Corolla 2014 Gray,"Lagos State, Kosofe",Local Used,167804 km
"₦ 4,015,200",Toyota RAV4 1.8 2005 Silver,"Abuja (FCT), Asokoro",Local Used,323924 km
"₦ 38,850,000",Lexus RX 350 2017 Gray,"Oyo State, Ibadan",Foreign Used,52670 km
"₦ 15,750,000",Toyota Sequoia 2004 White,"Enugu State, Enugu",Local Used,128874 km
"₦ 6,300,000",Ford Edge SE 4dr SUV (3.5L 6cyl 6A) 2013 Gray,"Lagos State, Lekki",Local Used,112179 km
"₦ 6,825,000",Toyota Camry 2007 Green,"Lagos State, Isolo",Local Used,97727 km
"₦ 9,360,000",Lexus RX 330 2004 Silver,"Lagos State, Amuwo-Odofin",Local Used,144718 km
"₦ 5,200,000",Toyota 4-Runner 2002 Beige,"Lagos State, Ikorodu",Local Used,224766 km
"₦ 4,368,000",Lexus RX 300 1999 Green,"Enugu State, Enugu",Local Used,189798 km
"₦ 4,725,000",Honda Civic 2009 Black,"Lagos State, Lekki",Local Used,111000 km
"₦ 2,425,500",Hyundai Sonata 2008 Black,"Lagos State, Abule Egba",Local Used,190624 km
"₦ 91,520,000",Toyota Hilux 2021 White,"Lagos State, Ilupeju",Foreign Used,62025 km
"₦ 3,150,000",Honda Civic 2006 Blue,"Oyo State, Ibadan",Local Used,396942 km
"₦ 5,775,000",BMW X5 2003 Blue,"Lagos State, Ikotun/Igando",Local Used,187233 km
"₦ 6,300,000",Nissan Titan 2007 Black,"Edo State, Benin City",Local Used,231212 km
"₦ 27,300,000",Lexus RX 350 2015 Blue,"Lagos State, Ikeja",Foreign Used,26304 km
"₦ 3,120,000",Peugeot 206 2005 Green,"Abuja (FCT), Asokoro",Local Used,152666 km
"₦ 14,175,000",Hyundai Azera 2014 Black,"Abuja (FCT), Jabi",Foreign Used,109716 km
"₦ 5,979,750",Honda CR-V 2010 Black,"Lagos State, Yaba",Local Used,262026 km
"₦ 17,850,000",Kia Rio 2023 Gray,"Lagos State, Yaba",Local Used,15368 km
"₦ 5,355,000",Toyota Sienna LE FWD (3.3L V6 5A) 2004 Gold,"Lagos State, Ojodu",Local Used,312535 km
"₦ 9,371,250",Mercedes-Benz GL-Class 2011 Black,"Lagos State, Lekki",Local Used,
"₦ 6,552,000",Toyota Sienna 2004 Silver,"Lagos State, Alimosho",Local Used,317033 km
"₦ 6,930,000",Toyota Corolla 2009 Gold,"Abuja (FCT), Kubwa",Local Used,97225 km
"₦ 11,440,000",Toyota Highlander Limited 2008 Red,"Lagos State, Ojodu",Local Used,447093 km
"₦ 7,350,000",Audi Q7 2007 Black,"Lagos State, Lekki",Local Used,328777 km
"₦ 26,250,000",New MG MGC 2023 Black,"Lagos State, Amuwo-Odofin",Brand New,3048 km
"₦ 4,095,000",Toyota Camry 2003 Silver,"Edo State, Benin City",Local Used,101224 km
"₦ 5,565,000",Lexus ES 330 2005 Silver,"Rivers State, Port-Harcourt",Local Used,80246 km
"₦ 5,096,000",Honda Accord 2008 Black,"Abuja (FCT), Karu",Local Used,213452 km
"₦ 22,050,000",BMW X4 2015 Brown,"Lagos State, Ikeja",Local Used,20655 km
"₦ 6,760,000",Lexus ES 2003 Silver,"Lagos State, Alimosho",Local Used,110815 km
"₦ 8,320,000",Toyota Sienna 2006 Gray,"Abuja (FCT), Asokoro",Local Used,65911 km
"₦ 17,160,000",Hyundai Sonata 2015 Gray,"Abuja (FCT), Gwarinpa",Foreign Used,104041 km
"₦ 8,295,000",Lexus RX 330 2004 Black,"Lagos State, Ogba",Local Used,304343 km
"₦ 20,475,000",Lexus RX 350 2012 Black,"Lagos State, Ikorodu",Foreign Used,130403 km
"₦ 10,400,000",Lexus GX 2003 Silver,"Rivers State, Port-Harcourt",Local Used,202894 km
"₦ 7,560,000",Toyota Solara 2.4 Coupe 2008 Silver,"Lagos State, Ikorodu",Local Used,109481 km
"₦ 16,640,000",Lexus ES 2011 Blue,"Lagos State, Surulere",Foreign Used,129740 km
"₦ 18,720,000",Toyota Camry 2012 Gray,"Lagos State, Ilupeju",Foreign Used,221831 km
"₦ 4,200,000",Peugeot 308 2005 Red,"Lagos State, Lekki",Foreign Used,155188 km
"₦ 5,775,000",Mazda 6 2.0 2009 Gray,"Akwa Ibom State, Uyo",Local Used,146971 km
"₦ 7,280,000",Toyota Camry 2008 Black,"Rivers State, Port-Harcourt",Local Used,78203 km
"₦ 5,616,000",Toyota Camry 2007 Black,"Lagos State, Ojodu",Local Used,244894 km
"₦ 23,961,000",Toyota RAV4 XLE 2021 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,54820 km
"₦ 7,875,000",Toyota RAV4 Limited V6 4x4 2008 Black,"Akwa Ibom State, Uyo",Foreign Used,103765 km
"₦ 17,251,500",Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,"Lagos State, Ojodu",Foreign Used,84295 km
"₦ 7,875,000",BMW X3 2006 Black,"Abuja (FCT), Jabi",Foreign Used,287771 km
"₦ 5,250,000",Toyota Sienna 2005 Blue,"Lagos State, Ikorodu",Local Used,133085 km
"₦ 4,680,000",Lexus RX 300 2001 Black,"Lagos State, Lekki",Local Used,786938 km
"₦ 10,290,000",Toyota Corolla 2015 Black,"Lagos State, Ogba",Local Used,115798 km
"₦ 6,825,000",Toyota RAV4 2007 Silver,"Lagos State, Yaba",Local Used,298617 km
"₦ 4,680,000",Hyundai Elantra 2.0 2009 Blue,"Akwa Ibom State, Uyo",Local Used,114234 km
"₦ 14,700,000",Honda Accord 2014 Black,"Lagos State, Surulere",Foreign Used,220548 km
"₦ 9,360,000",Toyota Camry 2011 Black,"Lagos State, Ikeja",Local Used,205802 km
"₦ 3,465,000",Toyota Camry 2004 Black,"Edo State, Benin City",Local Used,119065 km
"₦ 1,890,000",Honda Accord 2002 Black,"Lagos State, Isolo",Local Used,1 km
"₦ 9,048,000",Ford Edge 2013 White,"Lagos State, Ojodu",Local Used,197612 km
"₦ 4,200,000",Toyota 4-Runner 2001 White,"Lagos State, Ogba",Local Used,219653 km
"₦ 4,620,000",Toyota Highlander 2002 Gray,"Lagos State, Alimosho",Local Used,206306 km
"₦ 7,280,000",Ford Edge 2007 Off white,"Rivers State, Port-Harcourt",Local Used,283728 km
"₦ 3,780,000",Lexus RX 300 2002 Black,"Lagos State, Ikeja",Local Used,309900 km
"₦ 23,205,000",Toyota Highlander 2015 Gray,"Lagos State, Lekki",Local Used,100751 km
"₦ 15,750,000",Mercedes-Benz E350 2014 Black,"Edo State, Benin City",Local Used,
"₦ 29,640,000",Toyota Land Cruiser Prado 2010 Black,"Lagos State, Lekki",Local Used,54289 km
"₦ 14,040,000",Toyota Corolla 2014 White,"Kaduna State, Kaduna / Kaduna State",Local Used,145838 km
"₦ 13,650,000",Toyota RAV4 2011 Brown,"Lagos State, Magodo",Foreign Used,364528 km
"₦ 9,750,000",Lexus RX 350 2009 Silver,"Rivers State, Port-Harcourt",Local Used,310039 km
"₦ 4,200,000",Honda Accord 2008 Black,"Abuja (FCT), Gudu",Local Used,122755 km
"₦ 3,120,000",Honda Accord 2003 Black,"Lagos State, Isolo",Local Used,220312 km
"₦ 7,245,000",Lexus RX 330 2006 Green,"Imo State, Owerri",Local Used,
"₦ 9,975,000",Acura TLX 2015 Blue,"Rivers State, Port-Harcourt",Local Used,197457 km
"₦ 8,400,000",Volkswagen Tiguan 2015 Brown,"Lagos State, Ikoyi",Local Used,84155 km
"₦ 5,775,000",Mercedes-Benz C300 2011 Black,"Oyo State, Ibadan",Local Used,54016 km
"₦ 14,175,000",Hyundai Elantra 2017 Gray,"Rivers State, Port-Harcourt",Foreign Used,149630 km
"₦ 7,800,000",Lexus GS 2006 Black,"Abuja (FCT), Lugbe District",Local Used,366607 km
"₦ 7,812,000",Toyota Corolla 2005 White,"Abuja (FCT), Jabi",Foreign Used,299999 km
"₦ 9,360,000",Toyota Highlander 2004 Black,"Abuja (FCT), Lugbe District",Local Used,149124 km
"₦ 3,780,000",Toyota Corolla 1.8 TS 2004 Blue,"Lagos State, Ojodu",Local Used,359907 km
"₦ 5,565,000",Mercedes-Benz M Class 2009 Silver,"Lagos State, Ogudu",Local Used,152181 km
"₦ 31,200,000",Honda Accord 2018 Black,"Abuja (FCT), Garki 2",Foreign Used,39884 km
"₦ 3,150,000",Ford Edge 2007 Gray,"Imo State, Owerri",Local Used,350951 km
"₦ 4,368,000",Toyota Camry 2003 Green,"Enugu State, Enugu",Local Used,345284 km
"₦ 7,560,000",Toyota Tacoma 2008 Black,"Lagos State, Magodo",Local Used,455766 km
"₦ 23,920,000",Toyota Highlander 2013 Black,"Lagos State, Ilupeju",Foreign Used,92525 km
"₦ 6,594,000",Toyota Camry 2011 Black,"Lagos State, Ajah",Local Used,197989 km
"₦ 9,360,000",Honda Crosstour 2010 White,"Abuja (FCT), Gwarinpa",Local Used,197923 km
"₦ 6,240,000",Toyota Camry 2004 Gold,"Rivers State, Port-Harcourt",Local Used,89536 km
"₦ 11,960,000",Toyota Camry 2011 Red,"Lagos State, Magodo",Foreign Used,197506 km
"₦ 3,150,000",Toyota Camry 1997 Silver,"Abuja (FCT), Gudu",Local Used,185423 km
"₦ 33,280,000",Toyota Highlander 2018 Brown,"Lagos State, Isolo",Local Used,51406 km
"₦ 7,540,000",Toyota Sienna LE 2008 Gray,"Lagos State, Ikorodu",Local Used,115279 km
"₦ 7,980,000",Nissan Versa 1.6 SV 2013 Blue,"Lagos State, Ojodu",Foreign Used,67728 km
"₦ 4,680,000",Toyota Camry 2003 Black,"Lagos State, Yaba",Local Used,407909 km
"₦ 42,000,000",Dodge Charger SXT RWD 2019 Red,"Lagos State, Ajah",Foreign Used,151519 km
"₦ 6,800,000",Toyota Sienna 2008 Green,"Abuja (FCT), Lugbe District",Local Used,303989 km
"₦ 22,050,000",Toyota Camry SE (2.5L 4cyl 8A) 2019 Black,"Lagos State, Ikorodu",Foreign Used,412673 km
"₦ 3,570,000",Toyota Sienna 2001 Silver,"Oyo State, Ibadan",Local Used,188582 km
"₦ 16,758,000",Lexus ES 2013 Black,"Lagos State, Lekki",Local Used,130570 km
"₦ 11,235,000",Toyota Highlander 2010 Silver,"Abuja (FCT), Garki 2",Local Used,90966 km
"₦ 26,250,000",Toyota Tacoma 2013 Silver,"Lagos State, Lekki",Local Used,161598 km
"₦ 8,320,000",Toyota Camry 2007 White,"Abuja (FCT), Kubwa",Local Used,110690 km
"₦ 17,680,000",Mercedes-Benz GL-Class 2010 Black,"Lagos State, Amuwo-Odofin",Local Used,335091 km
"₦ 8,944,000",Toyota Camry 2009 Green,"Lagos State, Magodo",Local Used,80353 km
"₦ 6,968,000",Toyota Sienna 2007 Gold,"Lagos State, Alimosho",Local Used,202407 km
"₦ 15,600,000",Toyota Camry 2016 Black,"Abuja (FCT), Jabi",Local Used,167294 km
"₦ 6,237,000",Toyota Corolla 2008 Blue,"Lagos State, Ojodu",Local Used,192969 km
"₦ 9,282,000",Toyota Camry 2007 Black,"Lagos State, Ojodu",Foreign Used,230154 km
"₦ 4,410,000",Honda CR-V 2005 Green,"Lagos State, Alimosho",Foreign Used,
"₦ 15,750,000",Mercedes-Benz GLA 250 2015 White,"Abuja (FCT), Jabi",Local Used,116825 km
"₦ 5,250,000",Lexus ES 2005 Black,"Oyo State, Ibadan",Local Used,201241 km
"₦ 9,048,000",Ford Edge 2013 Burgandy,"Lagos State, Ajah",Local Used,175614 km
"₦ 20,081,250",Lexus RX 350 2011 Gray,"Lagos State, Ikeja",Foreign Used,138691 km
"₦ 8,190,000",BMW X6 2008 White,"Lagos State, Ojodu",Local Used,90995 km
"₦ 4,725,000",Ford Edge 2009 Silver,"Edo State, Benin City",Local Used,288963 km
"₦ 2,730,000",Ford Escape 2009 Silver,"Oyo State, Ibadan",Local Used,185813 km
"₦ 9,880,000",Lexus IS 2009 White,"Abuja (FCT), Garki 2",Local Used,116325 km
"₦ 3,990,000",Mercedes-Benz M Class 2004 Blue,"Enugu State, Enugu",Local Used,138000 km
"₦ 41,600,000",Lexus GX 2011 Black,"Lagos State, Surulere",Foreign Used,148242 km
"₦ 3,727,500",Hyundai Tucson GL 4x4 2005 Green,"Lagos State, Ojodu",Local Used,351528 km
"₦ 6,825,000",Toyota Camry 2010 Silver,"Lagos State, Abule Egba",Local Used,165404 km
"₦ 13,125,000",GMC Acadia 2012 White,"Abuja (FCT), Kubwa",Local Used,1702249 km
"₦ 34,320,000",Toyota Camry 2018 White,"Lagos State, Ikeja",Foreign Used,139565 km
"₦ 4,536,000",Mercedes-Benz E350 2006 Black,"Abuja (FCT), Karu",Local Used,400361 km
"₦ 35,360,000",Toyota Camry 2018 White,"Lagos State, Ikeja",Foreign Used,92281 km
"₦ 11,959,500",Toyota Venza 2010 Black,"Lagos State, Ikeja",Local Used,328286 km
"₦ 12,480,000",Honda Pilot 2009 White,"Rivers State, Port-Harcourt",Local Used,239122 km
"₦ 3,360,000",Honda Civic 2008 Gray,"Lagos State, Ajah",Local Used,269633 km
"₦ 51,450,000",Toyota Highlander 2020 Black,"Oyo State, Ibadan",Foreign Used,45331 km
"₦ 4,200,000",Honda Accord 2008 Red,"Rivers State, Port-Harcourt",Local Used,159031 km
"₦ 7,350,000",Audi Q7 2009 Gray,"Rivers State, Port-Harcourt",Local Used,240383 km
"₦ 10,500,000",Toyota Sienna 2004 Blue,"Abuja (FCT), Wuse",Foreign Used,115614 km
"₦ 14,700,000",Hyundai Santa Fe 2013 Black,"Rivers State, Port-Harcourt",Local Used,119821 km
"₦ 7,800,000",Toyota Camry 2008 Silver,"Lagos State, Ikotun/Igando",Local Used,117314 km
"₦ 6,825,000",Mercedes-Benz C300 2009 Black,"Abuja (FCT), Karu",Local Used,188689 km
"₦ 12,480,000",Toyota Camry 2010 Green,"Lagos State, Ilupeju",Local Used,134452 km
"₦ 20,475,000",Lexus RX 350 2012 Black,"Lagos State, Ikeja",Foreign Used,125473 km
"₦ 16,957,500",Toyota Venza 2009 White,"Lagos State, Ikeja",Foreign Used,316248 km
"₦ 7,300,000",Toyota Corolla 2008 Blue,"Abuja (FCT), Gwarinpa",Local Used,149915 km
"₦ 6,552,000",Toyota Sienna 2004 Silver,"Lagos State, Ogba",Local Used,305837 km
"₦ 7,300,000",Toyota Corolla 2008 Blue,"Rivers State, Port-Harcourt",Local Used,149560 km
"₦ 23,835,000",Toyota Sienna 2017 Gray,"Lagos State, Ojodu",Foreign Used,452454 km
"₦ 3,536,000",Toyota Sienna 2000 Gold,"Ogun State, Abeokuta North",Local Used,432297 km
"₦ 4,200,000",Toyota Highlander 2004 Burgandy,"Ondo State, Akure",Local Used,298613 km
"₦ 8,400,000",Honda Pilot 2013 Gray,"Lagos State, Surulere",Local Used,287045 km
"₦ 6,300,000",Nissan Murano 2010 Silver,"Rivers State, Port-Harcourt",Local Used,22491 km
"₦ 11,960,000",Hyundai Sonata 2011 Blue,"Lagos State, Ikotun/Igando",Foreign Used,85262 km
"₦ 3,885,000",Toyota Camry 2004 Blue,"Lagos State, Ikorodu",Local Used,227187 km
"₦ 50,400,000",Land Rover Range Rover Velar P250 4x4 2018 White,"Lagos State, Ajah",Foreign Used,121542 km
"₦ 2,808,000",Toyota Camry 1999 Silver,"Lagos State, Yaba",Local Used,325500 km
"₦ 10,500,000",Mercedes-Benz CLA-Class 2014 White,"Lagos State, Isolo",Foreign Used,210544 km
"₦ 15,600,000",Toyota Highlander 2011 Gray,"Abia State, Umuahia",Local Used,169923 km
"₦ 11,440,000",Honda Accord 2013 Gray,"Lagos State, Ilupeju",Local Used,91349 km
"₦ 6,825,000",Volvo XC90 2008 Black,"Lagos State, Isolo",Local Used,118791 km
"₦ 46,800,000",Mercedes-Benz GLS-Class 2017 White,"Abuja (FCT), Wuse",Local Used,128819 km
"₦ 3,528,000",Lexus RX 300 2000 Gold,"Lagos State, Abule Egba",Local Used,285227 km
"₦ 13,967,625",Toyota Corolla 2015 Red,"Lagos State, Amuwo-Odofin",Foreign Used,417826 km
"₦ 9,880,000",Lexus RX 350 2007 Green,"Lagos State, Isolo",Local Used,155188 km
"₦ 3,885,000",Toyota Sienna 2005 Blue,"Oyo State, Ibadan",Local Used,187771 km
"₦ 11,440,000",Toyota Highlander 2008 Silver,"Abuja (FCT), Lugbe District",Local Used,245339 km
"₦ 9,360,000",Toyota Camry 2011 Silver,"Lagos State, Ilupeju",Local Used,133335 km
"₦ 8,632,000",Toyota Corolla 2010 Blue,"Ogun State, Abeokuta North",Local Used,
"₦ 3,675,000",Mitsubishi Endeavor 2005 Gray,"Lagos State, Magodo",Local Used,310132 km
"₦ 12,168,000",Toyota Camry 2011 Silver,"Lagos State, Alimosho",Foreign Used,482890 km
"₦ 20,800,000",Hyundai Santa Fe 2013 Black,"Abuja (FCT), Asokoro",Foreign Used,329766 km
"₦ 8,840,000",Toyota Corolla 2011 Black,"Oyo State, Ibadan",Local Used,183157 km
"₦ 15,600,000",Mercedes-Benz GL-Class 2010 Gray,"Oyo State, Ibadan",Local Used,245960 km
"₦ 4,992,000",Honda Accord 2.4 EX 2008 Gray,"Akwa Ibom State, Uyo",Local Used,140341 km
"₦ 18,562,500",Toyota Corolla 2016 Black,"Lagos State, Lekki",Local Used,117677 km
"₦ 5,616,000",Toyota Corolla 2003 Red,"Lagos State, Ilupeju",Local Used,235201 km
"₦ 37,800,000",Lexus GX 2017 Black,"Lagos State, Magodo",Local Used,82787 km
"₦ 4,680,000",Toyota RAV4 2002 Black,"Abuja (FCT), Lugbe District",Local Used,298429 km
"₦ 8,190,000",Lexus RX 350 2009 Black,"Lagos State, Yaba",Local Used,150655 km
"₦ 3,150,000",Nissan Sunny 2010 White,"Lagos State, Ikotun/Igando",Local Used,2227512 km
"₦ 5,880,000",Lexus GS 2008 Black,"Lagos State, Yaba",Local Used,223579 km
"₦ 5,565,000",Kia Sportage 2011 Silver,"Lagos State, Alimosho",Local Used,116333 km
"₦ 7,140,000",Toyota Corolla 2012 Black,"Lagos State, Isolo",Local Used,137952 km
"₦ 346,500,000",Lexus LX 2024 Black,"Lagos State, Ikoyi",Foreign Used,694 km
"₦ 18,060,000",Mercedes-Benz M Class ML 350 4Matic 2012 White,"Lagos State, Lekki",Local Used,288380 km
"₦ 21,000,000",Toyota Tacoma 2016 White,"Lagos State, Yaba",Foreign Used,432870 km
"₦ 37,750,000",Mercedes-Benz GL-Class 2014 Silver,"Lagos State, Lekki",Foreign Used,107442 km
"₦ 20,800,000",Honda Accord 2012 Black,"Lagos State, Lekki",Local Used,147548 km
"₦ 11,550,000",Toyota Highlander 2013 Silver,"Lagos State, Abule Egba",Local Used,350665 km
"₦ 6,615,000",Toyota Camry 2010 Silver,"Imo State, Owerri",Local Used,250828 km
"₦ 4,200,000",Toyota Corolla 2005 Gold,"Rivers State, Port-Harcourt",Local Used,261183 km
"₦ 12,480,000",Toyota Camry 2012 Black,"Abuja (FCT), Lugbe District",Local Used,331924 km
"₦ 6,240,000",Toyota Highlander Limited V6 AWD 2003 Black,"Lagos State, Ikorodu",Local Used,297809 km
"₦ 2,600,000",Toyota Camry 2000 Gray,"Lagos State, Isolo",Local Used,296908 km
"₦ 5,250,000",Toyota Corolla 2006 Silver,"Abuja (FCT), Kubwa",Local Used,224568 km
"₦ 5,880,000",Toyota Camry 2011 Blue,"Lagos State, Ajah",Local Used,209854 km
"₦ 14,700,000",Lexus RX 350 2009 Blue,"Lagos State, Ikotun/Igando",Foreign Used,214901 km
"₦ 10,500,000",Toyota Highlander 2009 Black,"Rivers State, Port-Harcourt",Local Used,181029 km
"₦ 3,465,000",Mercedes-Benz C280 2006 Silver,"Lagos State, Abule Egba",Local Used,218784 km
"₦ 5,250,000",Chevrolet Traverse 2012 Red,"Abuja (FCT), Wuse",Local Used,115439 km
"₦ 6,760,000",Toyota Highlander 2004 Gray,"Abia State, Aba North",Local Used,265096 km
"₦ 36,400,000",Honda Accord 2021 White,"Abuja (FCT), Jabi",Foreign Used,75840 km
"₦ 28,080,000",Geely Coolray 2022 Silver,"Lagos State, Ilupeju",Local Used,46589 km
"₦ 31,096,000",Toyota Highlander Limited 2012 White,"Lagos State, Ilupeju",Foreign Used,144256 km
"₦ 12,075,000",Toyota Highlander Limited 2011 Black,"Rivers State, Port-Harcourt",Local Used,46291 km
"₦ 1,995,000",Toyota Corolla 1999 Gold,"Ogun State, Abeokuta North",Local Used,551923 km
"₦ 6,615,000",Lexus ES 2009 Brown,"Abia State, Aba North",Local Used,113648 km
"₦ 9,975,000",Honda Accord 2014 Black,"Lagos State, Ikeja",Local Used,124514 km
"₦ 15,750,000",Kia Soul 2015 Beige,"Lagos State, Lekki",Local Used,79703 km
"₦ 4,725,000",Toyota Corolla 2005 Silver,"Lagos State, Yaba",Local Used,122460 km
"₦ 6,615,000",Hyundai Santa Fe 2006 Gray,"Abuja (FCT), Karu",Local Used,325678 km
"₦ 5,880,000",Toyota Camry 2008 Black,"Abuja (FCT), Karu",Local Used,282810 km
"₦ 4,160,000",Honda Pilot 2004 Gray,"Lagos State, Ilupeju",Local Used,226948 km
"₦ 81,120,000",Toyota Highlander 2021 Gray,"Lagos State, Lekki",Foreign Used,77005 km
"₦ 5,250,000",Ford Expedition 2004 Blue,"Lagos State, Surulere",Foreign Used,176053 km
"₦ 3,588,000",Honda Accord 2.4 Automatic 2003 Silver,"Lagos State, Amuwo-Odofin",Local Used,183092 km
"₦ 5,754,000",Toyota Camry 2007 Silver,"Lagos State, Magodo",Local Used,163869 km
"₦ 17,680,000",Mercedes-Benz M Class 2009 Black,"Lagos State, Ilupeju",Foreign Used,151884 km
"₦ 5,250,000",Kia Sportage 2013 Green,"Lagos State, Ilupeju",Local Used,210702 km
"₦ 2,625,000",Nissan Sentra 2008 Blue,"Lagos State, Ojodu",Local Used,223538 km
"₦ 8,715,000",Honda Accord 2013 Silver,"Lagos State, Lekki",Local Used,318219 km
"₦ 4,725,000",Honda Accord 2008 Brown,"Oyo State, Ibadan",Local Used,79444 km
"₦ 21,000,000",Jeep Wrangler 2008 White,"Lagos State, Ikeja",Local Used,268111 km
"₦ 18,900,000",Lexus GS 2013 Gray,"Abuja (FCT), Gwarinpa",Foreign Used,281098 km
"₦ 6,872,250",Honda Accord Crosstour 2011 Black,"Abuja (FCT), Gwarinpa",Local Used,317529 km
"₦ 6,240,000",Toyota Sienna 2004 Silver,"Abuja (FCT), Gudu",Local Used,76815 km
"₦ 4,410,000",Mercedes-Benz C300 2008 Gray,"Lagos State, Yaba",Local Used,305282 km
