Price,Car Name,Region,Condition,Mileage
"₦ 25,050,000",Mercedes-Benz GLK-Class 2015 White,"Lagos State, Abule Egba",Foreign Used,294988 km
"₦ 6,300,000",Hyundai Sonata 2011 Blue,"Abuja (FCT), Asokoro",Local Used,236180 km
"₦ 5,845,875",Ford Edge 2011 Black,"Lagos State, Ilupeju",Local Used,84682 km
"₦ 1,890,000",Hyundai Elantra 2008 Blue,"Oyo State, Ibadan",Local Used,244581 km
"₦ 18,375,000",Mercedes-Benz GL-Class 2013 Silver,"Abuja (FCT), Jabi",Local Used,70857 km
"₦ 21,000,000",Hyundai Santa Fe SE AWD 2018 Gray,"Lagos State, Lekki",Local Used,93779 km
"₦ 9,450,000",Mercedes-Benz E350 2012 White,"Abuja (FCT), Jabi",Local Used,351735 km
"₦ 5,200,000",Toyota Corolla 2005 Black,"Ogun State, Abeokuta North",Local Used,204400 km
"₦ 87,210,375",Mercedes-Benz GLE-Class GLE 350 2020 Gray,"Lagos State, Lekki",Foreign Used,134563 km
"₦ 14,976,000",Toyota Venza 2013 Gold,"Ogun State, Abeokuta North",Local Used,195035 km
"₦ 21,000,000",Lincoln MKZ 2016 Red,"Abuja (FCT), Garki 2",Local Used,177560 km
"₦ 2,625,000",Acura MDX 2006 Gray,"Rivers State, Port-Harcourt",Local Used,54856 km
"₦ 5,460,000",Toyota Camry 2007 Gray,"Edo State, Benin City",Local Used,164884 km
"₦ 9,450,000",Lexus GX 2006 Blue,"Delta State, Oshimili South",Local Used,198182 km
"₦ 14,700,000",Honda City 2019 Black,"Lagos State, Isolo",Local Used,40803 km
"₦ 4,200,000",Toyota Avalon 2001 Black,"Delta State, Oshimili South",Local Used,
"₦ 20,800,000",Lexus RX 350 2014 Black,"Rivers State, Port-Harcourt",Local Used,93428 km
"₦ 4,200,000",Honda Odyssey 3.0 2WD 2000 Gray,"Lagos State, Lekki",Foreign Used,
"₦ 28,080,000",Toyota Tacoma 2015 Gray,"Akwa Ibom State, Uyo",Foreign Used,168187 km
"₦ 3,675,000",Mitsubishi Endeavor 2004 Silver,"Lagos State, Ajah",Local Used,284975 km
"₦ 3,885,000",Honda Accord 2008 Black,"Abuja (FCT), Karu",Local Used,176945 km
"₦ 4,620,000",Toyota Corolla 2007 Silver,"Lagos State, Alimosho",Local Used,390105 km
"₦ 9,450,000",Ford Escape 2013 White,"Lagos State, Ilupeju",Local Used,169696 km
"₦ 12,480,000",Toyota Sienna 2011 Red,"Lagos State, Amuwo-Odofin",Local Used,342779 km
"₦ 4,680,000",Toyota Camry 2002 Gold,"Ondo State, Akure",Local Used,349312 km
"₦ 5,040,000",Toyota Avalon 2006 Black,"Abuja (FCT), Gudu",Local Used,175011 km
"₦ 4,200,000",Toyota Corolla 2008 Gray,"Lagos State, Isolo",Local Used,208430 km
"₦ 2,940,000",Honda CR-V 2.0i ES Automatic 2003 Silver,"Lagos State, Ikorodu",Local Used,290002 km
"₦ 8,112,000",Ford Edge 2013 Brown,"Enugu State, Enugu",Local Used,107072 km
"₦ 4,725,000",Acura MDX 2008 Burgandy,"Edo State, Benin City",Local Used,195150 km
"₦ 18,720,000",Lexus RX 350 2009 Blue,"Lagos State, Surulere",Foreign Used,247279 km
"₦ 4,462,500",Toyota Avalon 2007 Blue,"Abuja (FCT), Lugbe District",Local Used,205008 km
"₦ 8,320,000",Toyota Camry 2010 Black,"Lagos State, Yaba",Local Used,169762 km
"₦ 4,935,000",Volkswagen Tiguan 2011 Black,"Abuja (FCT), Central Business District",Local Used,96993 km
"₦ 12,075,000",Toyota Highlander 2010 Gray,"Oyo State, Ibadan",Local Used,169220 km
"₦ 4,725,000",Toyota Corolla 2005 Silver,"Abuja (FCT), Gudu",Local Used,259069 km
"₦ 3,640,000",Peugeot 406 2003 Blue,"Abuja (FCT), Karu",Local Used,278135 km
