Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
3375000.0,Lexus GS,Abuja (FCT),Local Used,339403.0,2003,Black,Lexus,15.03190617858502
15750000.0,BMW X6,Rivers State,Local Used,112327.0,2008,Green,BMW,16.572350986727976
16734375.0,Toyota Sienna,Lagos State,Foreign Used,84459.0,2012,Black,Toyota,16.632975604809584
5062500.0,Acura MDX,Abuja (FCT),Local Used,189056.0,2010,Green,Acura,15.437371187927775
8415000.0,Toyota Matrix,Lagos State,Foreign Used,393168.0,2006,Blue,Toyota,15.94552650444245
10327500.0,Toyota Camry,Abuja (FCT),Local Used,94075.0,2014,Blue,Toyota,16.150320895081908
3937500.0,Toyota Avalon,Enugu State,Local Used,250000.0,2001,Black,Toyota,15.186056816084246
4500000.0,Toyota Sienna,Ogun State,Local Used,251396.0,2002,White,Toyota,15.319588176962744
7920000.0,Lexus ES,Rivers State,Local Used,124467.0,2008,White,Lexus,15.884901890053227
8100000.0,Toyota RAV4,Lagos State,Local Used,199999.0,2011,Gray,Toyota,15.90737474309945
140625000.0,Mercedes-Benz GLE-Class,Lagos State,Foreign Used,62823.0,2021,White,Mercedes-Benz,18.761607338034068
7875000.0,Lexus GS,Rivers State,Local Used,216515.0,2008,White,Lexus,15.87920386966009
17437500.0,Toyota Venza,Abuja (FCT),Local Used,120203.0,2011,Black,Toyota,16.674133674893525
10350000.0,Lexus ES,Edo State,Local Used,109469.0,2010,Black,Lexus,16.152497174294005
3937500.0,Honda Accord 2.4 EX Automatic,Akwa Ibom State,Local Used,174222.0,2008,Black,Honda,15.186056816084246
9562500.0,BMW X6,Lagos State,Local Used,245353.0,2009,White,BMW,16.073359861692087
11250000.0,Ford Explorer,Rivers State,Local Used,81234.0,2011,Gray,Ford,16.235878775503586
5062500.0,Toyota Sequoia,Lagos State,Local Used,231612.0,2003,Gold,Toyota,15.437371187927775
22500000.0,Toyota Corolla,Lagos State,Foreign Used,73370.0,2017,Blue,Toyota,16.929025911619092
19125000.0,Honda CR-V,Abuja (FCT),Local Used,155122.0,2013,White,Honda,16.766506989964455
9000000.0,Hyundai Elantra,Abuja (FCT),Local Used,161565.0,2012,White,Hyundai,16.012735246411598
7875000.0,Infiniti FX35,Lagos State,Local Used,132249.0,2010,White,Infiniti,15.87920386966009
10125000.0,Land Rover Lr3,Lagos State,Foreign Used,125909.0,2005,Silver,Land,16.130518269722305
15750000.0,Toyota Land Cruiser Prado 2.7 i 16V,Abuja (FCT),Local Used,340608.0,2006,White,Toyota,16.572350986727976
21937500.0,Toyota RAV4,Lagos State,Local Used,291451.0,2015,Blue,Toyota,16.903708104774402
7650000.0,Toyota RAV4,Oyo State,Local Used,232351.0,2006,Blue,Toyota,15.850216336521664
